name,address,city,state,zip,phone,website,latitude,longitude
Big Daddy's BBQ & Banquet,107 Wickersham St,Fairbanks,AK,99701,(907) 452-2501,http://www.bigdaddysbarb-q.com,64.84394,-147.725963
The Cookie Jar,1006 Cadillac Ct,Fairbanks,AK,99709,(907) 479-8319,http://www.cookiejarfairbanks.com,64.854567,-147.747484
Silver Gulch Restaurant,2195 Old Steese Hwy N,Fox,AK,99712,(907) 452-2739,http://www.silvergulch.com,64.958222,-147.621624
Country Cafe,235 N Santa Claus Ln,North Pole,AK,99705,(907) 488-8455,,64.755972,-147.354184
Elf's Den Restaurant & Lounge,Richardson Hwy,North Pole,AK,99705,(907) 488-3268,,64.752728,-147.335877
Pagoda Restaurant,431 N Santa Claus Ln,North Pole,AK,99705,(907) 488-3338,http://pagodanorthpole.com,64.758529,-147.354264
Manci's Antique Club,1715 Main St.,Daphne,AL,36526,(251) 626-9917,http://www.manci.net,30.603456,-87.902848
Gumbo Shack,212 & 1/2 Fairhope Ave.,Fairhope,AL,36532,(251) 928-4100,http://www.guysgumbo.com/,30.523031,-87.89099
Panini Pete's,42 S Section St,Fairhope,AL,36532,(251) 929-0122,http://www.paninipetes.com,30.522109,-87.902952
Aunt Lena's Creamery,Fulton Ranch Towne Center,Chandler,AZ,85248,(480) 802-1100,,33.30616,-111.84125
Brandy's Restaurant & Bakery,1500 E Cedar Ave,Flagstaff,AZ,86004,(928) 779-2187,http://www.brandysrestaurant.com/,35.219215,-111.620667
Salsa Brava,2220 E Rte 66,Flagstaff,AZ,86004,(928) 779-5293,http://www.salsabravaflagstaff.com/,35.203905,-111.615713
Joe's Farm Grill,3000 East Ray Road Bldg. 1,Gilbert,AZ,85296,(480) 563-4745,http://www.joesfarmgrill.com,33.321824,-111.726057
Haus Murphy's,5739 W Glendale Ave,Glendale,AZ,85301,(623) 939-2480,http://www.hausmurphys.com,33.538419,-112.182952
La Piazza Al Forno,5803 W Glendale Ave,Glendale,AZ,85301,(623) 847-3301,http://www.lapiazzaalforno.com/,33.538396,-112.183975
Thee Pitt's Again,5558 W. Bell Rd.,Glendale,AZ,85308,(602) 996-7488,http://www.theepittsagain.com,33.639345,-112.179069
Chino Bandido,15414 N 19th Ave Suite K,Phoenix,AZ,85023,(602) 375-3639,http://www.chinobandido.com,33.626421,-112.10023
Giuseppe's on 28th,2824 E Indian School Rd,Phoenix,AZ,85016,(602) 381-1237,http://www.giuseppeson28th.com,33.496255,-112.020529
Los Taquitos,4747 E Elliot Rd,Phoenix,AZ,85044,(480) 753-4361,http://www.ltgrill.com/,33.348062,-111.982021
Matt's Big Breakfast,801 N. 1st Street,Phoenix,AZ,85004,(602) 254-1074,http://www.mattsbigbreakfast.com,33.456758,-112.072346
Over Easy,4037 N 40th St,Phoenix,AZ,85018,(602) 468-3447,http://www.eatatovereasy.com/,33.493785,-111.99542
Roberto's Mexican Food,675 W. Union Hills Dr.,Phoenix,AZ,85027,(602) 439-7279,,33.653939,-112.082139
Tomahawk Restaurant,Philip Ave,North Vancouver,BC,V7P 1N2,(604) 988-2612,http://www.tomahawkrestaurant.com/,49.325278,-123.113337
Falconettis Eastside Grill,1812 Commercial Dr,Vancouver,BC,V5N,(604) 251-7287,http://www.falconettis.com/,49.268467,-123.069399
Peaceful Restaurant,532 W Broadway,Vancouver,BC,V5Z,(604) 879-9878,http://www.peacefulrestaurant.com/,49.263234,-123.115995
Red Wagon Cafe,2296 E Hastings St,Vancouver,BC,V5L,(604) 568-4565,http://www.redwagoncafe.com/,49.281172,-123.057947
Save-on-Meats,43 W Hastings St,Vancouver,BC,V6B 1G4,(604) 569-3568,http://saveonmeats.ca/,49.281808,-123.106033
Meal Ticket,1235 San Pablo Ave,Albany,CA,94706,(510) 526-6325,,37.881067,-122.295688
Mama Cozza's Italian Restaurant,2170 W Ball Rd,Anaheim,CA,92804,(714) 635-0063,http://www.mamacozzas.com/,33.817386,-117.957713
Napa Rose,1600 Disneyland Dr,Anaheim,CA,92802,(714) 300-7170,http://disneyland.disney.go.com/disneyland/en_US/hotels/dining/detail?name=NapaRoseDiningPage&bhcp=1,33.807635,-117.922193
Mad Greek Diner,72112 Baker Blvd,Baker,CA,92309,(760) 733-4354,,35.265859,-116.074762
900 Grayson,900 Grayson St,Berkeley,CA,94710,(510) 704-9900,http://www.900grayson.com/,37.855183,-122.292301
Bette's Oceanview Diner,1807 4th St,Berkeley,CA,94710,(510) 644-3230,http://www.worldpantry.com/cgi-bin/ncommerce/ExecMacro/bettes/dinerinfo.d2w/report,37.869885,-122.300328
Rick & Ann's Restaurant,2922 Domingo Ave,Berkeley,CA,94705,(510) 649-8538,http://www.rickandanns.com/,37.858586,-122.244178
The Oinkster,2005 Colorado Blvd.,Eagle Rock,CA,90041,(323) 255-OINK,http://www.oinkster.com/concept.htm,34.139509,-118.210521
Rudy's Can't Fail Cafe,4081 Hollis St,Emeryville,CA,94608,(510) 594-1221,http://www.rudyscantfailcafe.com/,37.83096,-122.285993
Russian River Pub,11829 River Rd,Forestville,CA,95436,(707) 887-7932,http://www.russianriverpub.com,38.504202,-122.941226
Paul's Coffee Shop,16947 Bushard St,Fountain Valley,CA,92708,(714) 965-3643,http://www.semperfinerdiner.com/,33.716832,-117.963694
Jay Bee's Bar-B-Que,15915 S. Avalon Blvd.,Gardena,CA,90247,(310) 532-1064,http://www.jaybeesbbq.com/,33.886734,-118.265433
Catelli's Restaurant,21047 Geyserville Ave,Geyserville,CA,95441,(707) 857-3471,http://www.mycatellis.com/,38.706751,-122.904531
Mambo's Cafe,1701 Victory Blvd,Glendale,CA,91201,(818) 545-8613,http://mambosla.com/,34.161572,-118.300127
Jimtown Store,6706 California 128,Healdsburg,CA,95448,(707) 433-1212,http://www.jimtown.com/,38.668877,-122.817254
Cafe Citti,9047 Sonoma Hwy,Kenwood,CA,95452,(707) 833-2690,http://www.cafecitti.com/,38.418126,-122.55051
At Last Cafe,204 Orange Ave,Long Beach,CA,90802,(562) 437-4837,http://www.jmchefcatering.com/,33.767963,-118.17673
