address,city,state,latitude,longitude
107 Wickersham St,Fairbanks,AK,64.84394,-147.725963
1006 Cadillac Ct,Fairbanks,AK,64.854567,-147.747484
2195 Old Steese Hwy N,Fox,AK,64.958222,-147.621624
235 N Santa Claus Ln,North Pole,AK,64.755972,-147.354184
Richardson Hwy,North Pole,AK,64.752728,-147.335877
431 N Santa Claus Ln,North Pole,AK,64.758529,-147.354264
1715 Main St.,Daphne,AL,30.603456,-87.902848
212 & 1/2 Fairhope Ave.,Fairhope,AL,30.523031,-87.89099
42 S Section St,Fairhope,AL,30.522109,-87.902952
Fulton Ranch Towne Center,Chandler,AZ,33.30616,-111.84125
1500 E Cedar Ave,Flagstaff,AZ,35.219215,-111.620667
2220 E Rte 66,Flagstaff,AZ,35.203905,-111.615713
3000 East Ray Road Bldg. 1,Gilbert,AZ,33.321824,-111.726057
5739 W Glendale Ave,Glendale,AZ,33.538419,-112.182952
5803 W Glendale Ave,Glendale,AZ,33.538396,-112.183975
5558 W. Bell Rd.,Glendale,AZ,33.639345,-112.179069
15414 N 19th Ave Suite K,Phoenix,AZ,33.626421,-112.10023
2824 E Indian School Rd,Phoenix,AZ,33.496255,-112.020529
4747 E Elliot Rd,Phoenix,AZ,33.348062,-111.982021
801 N. 1st Street,Phoenix,AZ,33.456758,-112.072346
4037 N 40th St,Phoenix,AZ,33.493785,-111.99542
675 W. Union Hills Dr.,Phoenix,AZ,33.653939,-112.082139
Philip Ave,North Vancouver,BC,49.325278,-123.113337
1812 Commercial Dr,Vancouver,BC,49.268467,-123.069399
532 W Broadway,Vancouver,BC,49.263234,-123.115995
2296 E Hastings St,Vancouver,BC,49.281172,-123.057947
43 W Hastings St,Vancouver,BC,49.281808,-123.106033
1235 San Pablo Ave,Albany,CA,37.881067,-122.295688
2170 W Ball Rd,Anaheim,CA,33.817386,-117.957713
1600 Disneyland Dr,Anaheim,CA,33.807635,-117.922193
72112 Baker Blvd,Baker,CA,35.265859,-116.074762
900 Grayson St,Berkeley,CA,37.855183,-122.292301
1807 4th St,Berkeley,CA,37.869885,-122.300328
2922 Domingo Ave,Berkeley,CA,37.858586,-122.244178
2005 Colorado Blvd.,Eagle Rock,CA,34.139509,-118.210521
4081 Hollis St,Emeryville,CA,37.83096,-122.285993
11829 River Rd,Forestville,CA,38.504202,-122.941226
16947 Bushard St,Fountain Valley,CA,33.716832,-117.963694
15915 S. Avalon Blvd.,Gardena,CA,33.886734,-118.265433
21047 Geyserville Ave,Geyserville,CA,38.706751,-122.904531
1701 Victory Blvd,Glendale,CA,34.161572,-118.300127
6706 California 128,Healdsburg,CA,38.668877,-122.817254
9047 Sonoma Hwy,Kenwood,CA,38.418126,-122.55051
204 Orange Ave,Long Beach,CA,33.767963,-118.17673
241 N. Marina Dr.,Long Beach,CA,33.752191,-118.108256
444 Lincoln Blvd,Los Angeles,CA,34.00037,-118.465402
11500 Tennessee Ave,Los Angeles,CA,34.034367,-118.442679
10227 Venice Blvd,Los Angeles,CA,34.021572,-118.402733
3328 Pasadena Ave,Los Angeles,CA,34.083838,-118.213303
4112 Verdugo Rd,Los Angeles,CA,34.125448,-118.231575
524 S Main St,Los Angeles,CA,34.045909,-118.248799
3421 N Highland Ave,Manhattan Beach,CA,33.899534,-118.417386
4307 Telegraph Ave,Oakland,CA,37.831817,-122.264082
5010 Newport Ave.,Ocean Beach,CA,32.747199,-117.251153
2145 Coast Hwy,Pacifica,CA,37.613037,-122.48782
202 Stage Rd.,Pescadero,CA,37.252196,-122.382778
628 Main St,Ramona,CA,33.045018,-116.862679
6747 Tampa Ave,Reseda,CA,34.193356,-118.553737
5737 H St,Sacramento,CA,38.567392,-121.431626
2968 Freeport Blvd,Sacramento,CA,38.550889,-121.4892
2598 Alta Arden Expy,Sacramento,CA,38.599511,-121.402091
427 Broadway,Sacramento,CA,38.565892,-121.507674
5301 Power Inn Rd,Sacramento,CA,38.526854,-121.408546
2326 K St,Sacramento,CA,38.574029,-121.475488
566 San Anselmo Ave,San Anselmo,CA,37.975646,-122.562458
3667 India St,San Diego,CA,32.742054,-117.179801
3695 India St.,San Diego,CA,32.742281,-117.180145
2271 1st Ave,San Diego,CA,32.728987,-117.163743
1137 25th St,San Diego,CA,32.717641,-117.140077
4701 Ruffin Rd.,San Diego,CA,32.825168,-117.127064
4201 30th Street,San Diego,CA,32.754227,-117.129983
1166 Geneva Ave,San Francisco,CA,37.714326,-122.436926
522 Jones St,San Francisco,CA,37.786172,-122.412852
1525 Pine Street,San Francisco,CA,37.789363,-122.420842
521 3rd St,San Francisco,CA,37.781202,-122.395225
4320 Mission St.,San Francisco,CA,37.728461,-122.431903
pier 23 the embarcadero,San Francisco,CA,37.803378,-122.400909
225 Clement St,San Francisco,CA,37.782882,-122.4617
1131 Folsom St,San Francisco,CA,37.775955,-122.408454
3129 Clement St,San Francisco,CA,37.781424,-122.492953
1101 Geary Blvd,San Francisco,CA,37.785497,-122.421804
